PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
152	Tinsley, Jamaal	UTA	81.8167	157	161	180	180	114.6497	111.8012	2.8484	31	37	58	40	0.4366	0.6105	1277.1833	2433	2433	2505	2544	102.9593	104.5623	-1.6030	469	425	854	874	0.3492	0.6677	4.4514	0.0874	-0.0572
155	Granger, Danny	IND	910.8667	1747	1752	1824	1724	104.4076	98.4018	6.0057	325	337	664	630	0.3403	0.6633	485.8000	915	913	891	960	97.3770	105.1479	-7.7708	176	179	309	352	0.3333	0.6332	13.7765	0.0070	0.0301
158	Nelson, Jameer	ORL	745.8167	1407	1392	1519	1427	107.9602	102.5144	5.4458	276	217	539	515	0.3489	0.7130	756.9667	1393	1407	1382	1398	99.2103	99.3603	-0.1500	264	242	544	531	0.3321	0.6921	5.5958	0.0168	0.0209
163	Evans, Reggie	LAC	368.8167	671	676	691	750	102.9806	110.9467	-7.9661	154	95	226	234	0.3969	0.7040	1038.1833	1967	1961	2144	2004	108.9985	102.1928	6.8057	394	392	737	704	0.3588	0.6528	-14.7718	0.0381	0.0512
164	Kaman, Chris	NOH	554.7167	1026	1017	994	1013	96.8811	99.6067	-2.7256	195	178	373	358	0.3526	0.6770	842.2833	1552	1559	1553	1667	100.0644	106.9275	-6.8631	266	255	554	566	0.3197	0.6848	4.1375	0.0329	-0.0078
166	Allen, Ray	BOS	811.1167	1505	1497	1555	1511	103.3223	100.9352	2.3871	231	261	553	530	0.3035	0.6794	537.5500	986	997	946	950	95.9432	95.2859	0.6573	148	206	356	365	0.2885	0.6335	1.7298	0.0150	0.0459
167	Brand, Elton	PHI	768.4500	1429	1429	1463	1355	102.3793	94.8216	7.5577	215	264	576	584	0.2691	0.6857	676.5500	1275	1283	1390	1250	109.0196	97.4279	11.5917	223	224	487	477	0.3186	0.6850	-4.0340	-0.0495	0.0007
168	Petro, Johan	NJN	179.4333	327	317	315	342	96.3303	107.8864	-11.5562	61	83	115	121	0.3352	0.5808	492.5667	894	898	957	1014	107.0470	112.9176	-5.8706	186	180	316	317	0.3698	0.6371	-5.6856	-0.0346	-0.0563
170	Lewis, Rashard	WAS	637.0833	1266	1249	1217	1352	96.1295	108.2466	-12.1171	222	245	423	474	0.3190	0.6332	807.9167	1562	1560	1531	1650	98.0154	105.7692	-7.7539	292	314	531	580	0.3349	0.6284	-4.3632	-0.0159	0.0048
172	Collison, Nick	OKC	597.2500	1136	1149	1322	1197	116.3732	104.1775	12.1957	178	229	420	364	0.3284	0.6471	799.7500	1593	1590	1641	1601	103.0132	100.6918	2.3214	260	280	607	519	0.3338	0.6843	9.8743	-0.0054	-0.0372
173	Ridnour, Luke	MIN	883.3500	1714	1716	1731	1777	100.9918	103.5548	-2.5629	327	289	612	619	0.3457	0.6792	556.6500	1115	1116	1159	1077	103.9462	96.5054	7.4408	198	202	439	387	0.3385	0.6849	-10.0037	0.0072	-0.0057
